source_node,target_node,length,highway,name,maxspeed,oneway,lanes,surface
353495410,4758381906,131.475,secondary,Rodovia José Marra da Silva,60,False,,
353495410,2314702896,376.736,secondary,"['Rodovia José Marra da Silva', 'Avenida México']",60,False,,
353495410,2364606765,965.403,tertiary,,40,False,,
353495738,4575071123,460.70500000000004,trunk,Rodovia Engenheiro Aimoré Dutra Filho,,False,,
353495738,2386538761,160.515,trunk,Rodovia Engenheiro Aimoré Dutra Filho,,False,,
353495738,7860033562,252.354,unclassified,,,False,,
353500756,3813433389,352.366,trunk,,80,False,,
353500756,3813433394,167.991,trunk,,80,False,,
353500756,5012916899,112.118,residential,Rua 10,,False,,
1344107585,4349725522,11.258,tertiary,,,False,,
1344107585,3285546144,213.442,tertiary,,,False,,
1344107585,2386538791,200.46699999999998,trunk,Rodovia Engenheiro Aimoré Dutra Filho,,False,,
1344107637,6797639726,280.58399999999995,residential,Rua Triângulo Mineiro,,False,,
1344107637,1886849818,424.617,trunk,Rodovia Engenheiro Aimoré Dutra Filho,,True,,
1344107649,2314946050,250.73,trunk,,80,False,,
1344107649,3813433389,383.085,trunk,,80,False,,
1344107649,6867912430,903.2610000000001,residential,Rua Amélia Justo,,False,,
1344107676,4575065910,35.36,trunk,Rodovia Engenheiro Aimoré Dutra Filho,,False,,
1344107676,7810005206,5.871,trunk,Rodovia Engenheiro Aimoré Dutra Filho,,False,,
1344107676,4575065906,33.339,residential,,,True,,
1344107775,7629565815,641.103,trunk,,80,True,,
1344107775,8100599504,493.7460000000001,unclassified,,,False,,
1344107787,1886930027,150.227,trunk,,60,True,,
1344107789,1886830736,40.447,trunk,,60,True,,
1344107814,5159362888,1030.084,secondary,Rodovia José Marra da Silva,80,False,,
1344107814,5148340175,718.0549999999998,tertiary,,80,False,,
1344107814,7856078298,640.7539999999999,unclassified,,,False,,
1344107814,4758444910,983.7959999999999,secondary,Rodovia José Marra da Silva,80,False,,
1344107821,7631479804,790.74,unclassified,,30,False,,
1344107821,4884660481,151.579,tertiary,,30,False,,
1344107821,1344107828,259.455,tertiary,,30,False,,
1344107828,7842283854,1276.481,tertiary,,,False,,
1344107828,1344107821,259.455,tertiary,,30,False,,
1344107828,1952940049,581.823,tertiary,,30,False,,
1344107850,8096083189,174.10899999999998,secondary,,,True,,
1344107850,5013319419,829.653,trunk,,80,True,,
1344107865,2315068169,213.255,tertiary,Avenida Perimetral,,False,,
1344107865,4740196888,72.819,secondary,Rodovia José Marra da Silva,40,False,,
1344107901,2314817205,26.022,secondary,Avenida Governador Magalhães Pinto,60,False,,
1344107901,1344107912,168.96300000000002,secondary,Avenida Governador Magalhães Pinto,60,True,,
1344107912,2370733668,334.943,trunk,,60,True,1,
1344107912,1886930004,98.189,trunk,,40,True,,
1434986363,2314913209,76.99,residential,,,False,,
1434986363,2314913168,78.019,residential,,,False,,
1434986363,2314913207,111.076,residential,Rua Gentil Silva Filho,40,False,,
1434986363,2314913176,115.584,residential,Rua Gentil Silva Filho,40,False,,
1434986786,1886850196,131.43499999999997,secondary,,,True,,
1434986786,1688051090,43.938,secondary,Avenida Autorama,40,False,2,
1434986792,2290662750,93.351,residential,Rua Cascalho Rico,,False,,
1434986792,3676456887,56.587,secondary,Avenida Autorama,40,False,2,
1434986792,2290662683,84.751,secondary,Avenida Autorama,40,False,2,
1434987102,1886853694,84.575,trunk_link,,40,True,,
1434987102,1434992494,118.45599999999999,trunk,Anel Rodoviário Presidente Tancredo Neves,,True,,
1434987103,7793375924,138.238,trunk,Anel Rodoviário Presidente Tancredo Neves,,True,,
1434987103,1886873835,1561.35,trunk,Anel Rodoviário Presidente Tancredo Neves,80,False,,
1434988114,3571570459,96.602,residential,Rua Geraldo Serrano,,False,,
1434988114,4029461904,70.592,residential,Rua Campo Belo,40,False,2,
1434988114,3877625157,74.758,residential,Rua Campo Belo,40,False,2,
1434988114,9040207161,43.039,residential,Rua Geraldo Serrano,,False,,
1434988115,2313675867,29.882,secondary,Avenida Paraná,40,False,3,
1434988115,7821850938,95.769,secondary,Avenida Paraná,40,False,3,
1434988115,2313675842,75.109,residential,Rua Erico Verissimo,,False,,
1434988116,2313675818,38.884,residential,Rua Fagundes Varela,,False,,
1434988116,2313675835,100.998,secondary,Avenida Paraná,40,False,3,
1434988116,1434988161,53.611000000000004,secondary,Avenida Paraná,40,False,"['2', '3']",
1434988123,3571570464,96.57,residential,Rua Gustavo Corsão,,False,,
1434988123,1771517290,74.489,residential,Rua Medina,,False,,
1434988123,3571570467,168.897,residential,"['Rua Medina', 'Rua Manoel Bandeira']",,False,,
1434988125,6797639839,28.207,residential,Rua Carbonita,,False,,
1434988125,1736099414,73.478,residential,Rua Carbonita,,False,,
1434988125,1771517393,94.691,residential,Rua Cecilia Meireles,,False,,
1434988125,1771517288,63.682,residential,Rua Cecilia Meireles,,False,,
1434988127,2313675784,95.77,residential,Rua Candeias,,False,,
1434988127,2313675794,94.968,residential,Rua Fagundes Varela,,False,,
1434988127,4029461904,93.259,residential,Rua Fagundes Varela,,False,,
1434988134,1736099453,92.671,residential,Rua Afrânio Peixoto,,False,2,
1434988134,2314748304,89.848,secondary,Rua Guapé,40,True,2,
1434988137,2314748322,98.608,residential,Rua Tucuruca,,False,,
1434988137,1736099455,94.985,residential,Avenida Amazonas,,False,,
1434988137,3463471753,96.0,residential,Rua Tucuruca,,False,,
1434988141,2313657949,94.28,residential,Rua Nossa Senhora Aparecida,,False,,
1434988141,2313657932,83.193,residential,Rua Afrânio Peixoto,,False,,
1434988141,2313670499,82.765,residential,Rua Afrânio Peixoto,,False,,
1434988141,5012506974,78.795,residential,Rua Nossa Senhora Aparecida,,False,,
1434988143,3571570437,92.934,residential,Rua Gustavo Corsão,,False,,
1434988143,3682426064,43.253,residential,Rua Campo do Meio,,False,,
1434988143,1736099400,74.681,residential,Rua Campo do Meio,,False,,
1434988143,3813409999,177.983,residential,Rua Gustavo Corsão,,False,,
1434988147,7822042874,12.802,secondary,Avenida Paraná,40,False,,
1434988147,1511920580,45.456999999999994,secondary,Avenida Paraná,40,True,,
1434988152,7793488068,35.016999999999996,secondary,Avenida Paraná,,True,,
1434988152,3463471759,35.432,residential,Rua Medina,,False,,
1434988161,1434988134,58.256,secondary,Rua Guapé,40,True,2,
1434988161,2313675818,35.669,residential,Rua Guapé,,False,,
1434988161,1434988116,53.611000000000004,secondary,Avenida Paraná,40,False,"['3', '2']",
1434988172,2313670647,120.594,residential,Rua Coronel Bragança,,False,,
1434988172,2313670630,76.194,residential,Rua Capinópolis,,False,,
1434988172,2313670615,159.853,residential,"['Rua Canápolis', 'Rua Coronel Bragança']",,False,,
1434988174,3571570418,74.428,residential,Rua Marechal Castel Branco,,False,,
